"Group","Test","Duration"
"HV","post",156
"HV","post",440
"HV","post",252
"HV","post",143
"HV","post",194
"HV","post",330
"HV","post",212
"HV","post",319
"HV","post",202
"HV","post",395
"HV","post",408
"HV","post",155
"HV","post",340
"HV","post",206
"HV","post",217
"HV","post",194
"HV","post",398
"HV","post",392
"HV","post",502
"HV","post",255
"HV","post",450
"HV","post",432
"HV","post",186
"HV","post",388
"HV","post",162
"HV","post",173
"HV","post",183
"HV","post",451
"HV","post",225
"HV","post",303
"HV","post",258
"HV","post",415
"HV","post",339
"HV","post",142
"HV","post",349
"HV","post",255
"HV","post",201
"HV","post",166
"HV","post",285
"HV","post",197
"HV","post",329
"HV","post",177
"HV","post",331
"HV","post",405
"HV","post",153
"HV","post",427
"HV","post",167
"HV","post",175
"HV","post",175
"HV","post",406
"HV","post",224
"HV","post",346
"HV","post",201
"HV","post",390
"HV","post",341
"HV","post",255
"HV","post",331
"HV","post",175
"HV","post",251
"HV","post",194
"HV","post",376
"HV","post",272
"HV","post",270
"HV","post",170
"HV","post",231
"HV","post",276
"HV","post",132
"HV","post",350
"HV","post",195
"HV","post",110
"HV","post",177
"HV","post",333
"HV","post",224
"HV","post",284
"HV","post",196
"HV","post",338
"HV","post",319
"HV","post",236
"HV","post",232
"HV","post",171
"HV","post",312
"HV","post",184
"HV","post",408
"LV","post",232
"LV","post",370
"LV","post",187
"LV","post",245
"LV","post",281
"LV","post",121
"LV","post",314
"LV","post",148
"LV","post",173
"LV","post",143
"LV","post",403
"LV","post",236
"LV","post",320
"LV","post",198
"LV","post",426
"LV","post",307
"LV","post",149
"LV","post",306
"LV","post",240
"LV","post",174
"LV","post",284
"LV","post",366
"LV","post",198
"LV","post",283
"LV","post",169
"LV","post",266
"LV","post",201
"LV","post",86
"LV","post",262
"LV","post",172
"LV","post",98
"LV","post",169
"LV","post",230
"LV","post",200
"LV","post",329
"LV","post",172
"LV","post",179
"LV","post",283
"LV","post",120
"LV","post",192
"LV","post",200
"LV","post",144
"LV","post",172
"LV","post",356
"LV","post",165
"LV","post",333
"LV","post",210
"LV","post",324
"LV","post",220
"LV","post",136
"LV","post",287
"LV","post",135
"LV","post",193
"LV","post",80
"LV","post",316
"LV","post",129
"LV","post",230
"LV","post",179
"LV","post",121
"LV","post",400
"LV","post",103
"LV","post",292
"LV","post",122
"LV","post",201
"LV","post",146
"LV","post",328
"LV","post",140
"LV","post",284
"LV","post",130
"LV","post",327
"LV","post",304
"LV","post",97
"LV","post",339
"LV","post",152
"LV","post",105
"LV","post",126
"LV","post",358
"LV","post",195
"LV","post",212
"LV","post",138
"LV","post",196
"LV","post",211
"LV","post",121
"LV","post",247
"LV","post",150
"LV","post",109
"LV","post",78
"LV","post",221
"LV","post",203
"LV","post",369
"LV","post",112
"LV","post",268
"LV","post",294
"LV","post",131
"LV","post",366
"LV","post",119
"LV","post",81
"LV","post",144
"LV","post",314
"LV","post",153
"LV","post",446
"LV","post",163
"LV","post",417
"LV","post",324
"LV","post",190
"LV","post",406
"LV","post",186
"LV","post",232
"LV","post",165
"LV","post",347
"LV","post",184
"LV","post",236
"LV","post",148
"LV","post",237
"LV","post",248
"LV","post",134
"LV","post",201
"LV","post",165
"LV","post",136
"LV","post",130
"LV","post",242
"LV","post",155
"LV","post",256
"LV","post",141
"LV","post",238
"LV","post",175
"LV","post",102
"LV","post",225
"LV","post",114
"LV","post",134
"LV","post",133
"LV","post",237
"LV","post",131
"LV","post",194
"LV","post",128
"LV","post",259
"LV","post",240
"LV","post",137
"LV","post",243
"LV","post",123
"LV","post",74
"LV","post",132
"LV","post",255
"LV","post",204
"LV","post",244
"LV","post",118
"LV","post",229
"LV","post",266
"LV","post",155
"LV","post",227
"LV","post",75
"LV","post",157
"LV","post",202
"LV","post",236
"LV","post",169
"LV","post",225
"LV","post",174
"LV","post",259
"LV","post",322
"LV","post",176
"LV","post",231
"LV","post",224
"LV","post",159
"LV","post",101
"LV","post",243
"LV","post",184
"LV","post",338
"LV","post",239
"LV","post",286
"LV","post",318
"LV","post",137
"LV","post",243
"LV","post",120
"LV","post",233
"LV","post",149
"LV","post",237
"LV","post",127
"LV","post",317
"LV","post",155
"LV","post",251
"LV","post",291
"LV","post",125
"LV","post",332
"LV","post",165
"LV","post",116
"LV","post",307
"LV","post",104
"LV","post",195
"LV","post",282
"LV","post",173
"LV","post",309
"LV","post",289
"LV","post",146
"LV","post",365
"LV","post",154
"LV","post",165
"LV","post",131
"LV","post",353
"LV","post",188
"LV","post",292
"LV","post",154
"LV","post",314
"LV","post",253
"LV","post",118
"LV","post",250
"LV","post",111
"LV","post",157
"LV","post",102
"LV","post",345
"LV","post",192
"LV","post",241
"LV","post",147
"LV","post",242
"LV","post",304
"LV","post",172
"LV","post",284
"LV","post",136
"LV","post",141
"LV","post",152
"LV","post",265
"LV","post",229
"LV","post",379
"LV","post",149
"LV","post",300
"LV","post",362
"LV","post",113
"LV","post",334
"LV","post",118
"LV","post",132
"LV","post",131
"LV","post",256
"LV","post",212
"LV","post",358
"LV","post",196
"LV","post",304
"LV","post",278
"LV","post",142
"LV","post",329
"LV","post",185
"LV","post",218
"LV","post",183
"LV","post",340
"LV","post",189
"LV","post",377
"LV","post",160
"LV","post",387
"LV","post",302
"LV","post",166
"LV","post",317
"LV","post",136
"LV","post",156
"LV","post",165
"LV","post",308
"LV","post",208
"LV","post",302
"LV","post",131
"LV","post",226
"LV","post",263
"LV","post",110
"LV","post",335
"LV","post",175
"LV","post",107
"LV","post",163
"LV","post",288
"HV","pre",116
"HV","pre",207
"HV","pre",118
"HV","pre",181
"HV","pre",209
"HV","pre",106
"HV","pre",183
"HV","pre",119
"HV","pre",101
"HV","pre",114
"HV","pre",182
"HV","pre",147
"HV","pre",238
"HV","pre",108
"HV","pre",219
"HV","pre",182
"HV","pre",98
"HV","pre",207
"HV","pre",98
"HV","pre",106
"HV","pre",76
"HV","pre",226
"HV","pre",176
"HV","pre",223
"HV","pre",149
"HV","pre",187
"HV","pre",195
"HV","pre",161
"HV","pre",222
"HV","pre",175
"HV","pre",165
"HV","pre",143
"HV","pre",284
"HV","pre",156
"HV","pre",190
"HV","pre",183
"HV","pre",203
"HV","pre",198
"HV","pre",70
"HV","pre",205
"HV","pre",142
"HV","pre",89
"HV","pre",127
"HV","pre",168
"HV","pre",253
"HV","pre",230
"HV","pre",63
"HV","pre",136
"HV","pre",318
"HV","pre",316
"HV","pre",214
"HV","pre",205
"HV","pre",168
"HV","pre",135
"HV","pre",235
"HV","pre",202
"HV","pre",241
"HV","pre",150
"HV","pre",268
"HV","pre",248
"HV","pre",174
"HV","pre",238
"HV","pre",202
"HV","pre",238
"HV","pre",185
"HV","pre",271
"HV","pre",278
"HV","pre",249
"HV","pre",126
"HV","pre",205
"HV","pre",212
"HV","pre",282
"HV","pre",176
"HV","pre",153
"HV","pre",183
"HV","pre",136
"HV","pre",131
"HV","pre",180
"HV","pre",197
"HV","pre",224
"HV","pre",200
"HV","pre",236
"HV","pre",186
"HV","pre",226
"HV","pre",119
"HV","pre",164
"HV","pre",162
"HV","pre",166
"HV","pre",147
"HV","pre",232
"HV","pre",119
"HV","pre",207
"HV","pre",269
"HV","pre",124
"HV","pre",257
"HV","pre",184
"HV","pre",72
"HV","pre",129
"HV","pre",253
"HV","pre",151
"HV","pre",202
"HV","pre",189
"HV","pre",161
"HV","pre",240
"HV","pre",137
"HV","pre",190
"HV","pre",62
"HV","pre",134
"HV","pre",123
"HV","pre",189
"HV","pre",147
"HV","pre",113
"HV","pre",144
"HV","pre",227
"HV","pre",173
"HV","pre",156
"HV","pre",273
"HV","pre",249
"HV","pre",93
"HV","pre",192
"HV","pre",203
"HV","pre",145
"HV","pre",219
"HV","pre",75
"HV","pre",198
"HV","pre",167
"HV","pre",109
"HV","pre",261
"HV","pre",118
"HV","pre",161
"HV","pre",92
"HV","pre",169
"HV","pre",273
"HV","pre",349
"HV","pre",196
"HV","pre",246
"HV","pre",349
"HV","pre",104
"HV","pre",271
"HV","pre",238
"HV","pre",126
"HV","pre",149
"HV","pre",179
"HV","pre",191
"HV","pre",313
"HV","pre",164
"HV","pre",259
"HV","pre",250
"HV","pre",119
"HV","pre",295
"HV","pre",133
"HV","pre",106
"HV","pre",75
"HV","pre",200
"HV","pre",231
"HV","pre",235
"HV","pre",96
"HV","pre",260
"HV","pre",231
"HV","pre",87
"HV","pre",250
"HV","pre",95
"HV","pre",90
"HV","pre",110
"HV","pre",234
"HV","pre",148
"HV","pre",271
"HV","pre",151
"HV","pre",208
"HV","pre",247
"HV","pre",142
"HV","pre",328
"HV","pre",73
"HV","pre",100
"HV","pre",109
"HV","pre",219
"HV","pre",113
"HV","pre",185
"HV","pre",107
"HV","pre",144
"HV","pre",298
"HV","pre",51
"HV","pre",243
"HV","pre",126
"HV","pre",129
"HV","pre",93
"HV","pre",204
"HV","pre",152
"HV","pre",203
"HV","pre",180
"HV","pre",256
"HV","pre",321
"HV","pre",167
"HV","pre",273
"HV","pre",139
"HV","pre",173
"HV","pre",176
"HV","pre",274
"HV","pre",182
"HV","pre",213
"HV","pre",111
"HV","pre",199
"HV","pre",223
"HV","pre",81
"HV","pre",251
"HV","pre",80
"HV","pre",161
"HV","pre",127
"HV","pre",243
"HV","pre",163
"HV","pre",197
"HV","pre",187
"HV","pre",200
"HV","pre",158
"HV","pre",105
"HV","pre",258
"HV","pre",187
"HV","pre",96
"HV","pre",123
"HV","pre",211
"HV","pre",156
"HV","pre",177
"HV","pre",155
"HV","pre",234
"HV","pre",187
"HV","pre",113
"HV","pre",181
"HV","pre",147
"HV","pre",130
"HV","pre",153
"HV","pre",161
"HV","pre",201
"HV","pre",271
"HV","pre",155
"HV","pre",321
"HV","pre",362
"HV","pre",100
"HV","pre",285
"HV","pre",157
"HV","pre",132
"HV","pre",125
"HV","pre",297
"LV","pre",180
"LV","pre",243
"LV","pre",134
"LV","pre",247
"LV","pre",324
"LV","pre",139
"LV","pre",268
"LV","pre",254
"LV","pre",146
"LV","pre",141
"LV","pre",160
"LV","pre",237
"LV","pre",274
"LV","pre",226
"LV","pre",287
"LV","pre",308
"LV","pre",147
"LV","pre",370
"LV","pre",219
"LV","pre",248
"LV","pre",349
"LV","pre",333
"LV","pre",200
"LV","pre",144
"LV","pre",174
"LV","pre",225
"LV","pre",422
"LV","pre",114
"LV","pre",153
"LV","pre",125
"LV","pre",127
"LV","pre",108
"LV","pre",244
"LV","pre",190
"LV","pre",198
"LV","pre",175
"LV","pre",201
"LV","pre",201
"LV","pre",211
"LV","pre",275
"LV","pre",179
"LV","pre",120
"LV","pre",188
"LV","pre",219
"LV","pre",300
"LV","pre",274
"LV","pre",166
"LV","pre",299
"LV","pre",262
"LV","pre",117
"LV","pre",236
"LV","pre",173
"LV","pre",176
"LV","pre",134
"LV","pre",258
"LV","pre",165
"LV","pre",208
"LV","pre",120
"LV","pre",220
"LV","pre",272
"LV","pre",92
"LV","pre",205
"LV","pre",152
"LV","pre",145
"LV","pre",162
"LV","pre",149
"LV","pre",150
"LV","pre",299
"LV","pre",208
"LV","pre",305
"LV","pre",288
"LV","pre",216
"LV","pre",395
"LV","pre",199
"LV","pre",151
"LV","pre",167
"LV","pre",331
"LV","pre",186
"LV","pre",275
"LV","pre",94
"LV","pre",261
"LV","pre",227
"LV","pre",145
"LV","pre",254
"LV","pre",124
"LV","pre",201
"LV","pre",182
"LV","pre",312
"LV","pre",199
"LV","pre",208
"LV","pre",181
"LV","pre",278
"LV","pre",218
"LV","pre",245
"LV","pre",178
"LV","pre",157
"LV","pre",141
"LV","pre",141
"LV","pre",345
"LV","pre",136
"LV","pre",263
"LV","pre",132
"LV","pre",250
"LV","pre",151
"LV","pre",103
"LV","pre",186
"LV","pre",118
"LV","pre",134
"LV","pre",99
"LV","pre",192
"LV","pre",109
"LV","pre",139
"LV","pre",125
"LV","pre",245
"LV","pre",207
"LV","pre",83
"LV","pre",240
"LV","pre",135
"LV","pre",117
"LV","pre",107
"LV","pre",244
"LV","pre",233
"LV","pre",175
"LV","pre",254
"LV","pre",115
"LV","pre",294
"LV","pre",90
"LV","pre",81
"LV","pre",147
"LV","pre",116
"LV","pre",87
"LV","pre",138
"LV","pre",186
"LV","pre",193
"LV","pre",190
"LV","pre",188
"LV","pre",144
"LV","pre",161
"LV","pre",240
"LV","pre",131
"LV","pre",148
"LV","pre",203
"LV","pre",248
"LV","pre",185
"LV","pre",174
"LV","pre",172
"LV","pre",230
"LV","pre",265
"LV","pre",172
"LV","pre",173
"LV","pre",153
"LV","pre",176
"LV","pre",140
"LV","pre",210
"LV","pre",228
"LV","pre",146
"LV","pre",179
"LV","pre",167
"LV","pre",183
"LV","pre",209
"LV","pre",233
"LV","pre",259
"LV","pre",166
"LV","pre",237
"LV","pre",167
"LV","pre",189
"LV","pre",177
"LV","pre",99
"LV","pre",198
"LV","pre",209
"LV","pre",124
"LV","pre",212
"LV","pre",101
"LV","pre",232
"LV","pre",110
"LV","pre",156
"LV","pre",155
"LV","pre",194
"LV","pre",89
"LV","pre",118
"LV","pre",208
"LV","pre",136
"LV","pre",246
"LV","pre",133
"LV","pre",129
"LV","pre",129
"LV","pre",219
"LV","pre",145
"LV","pre",207
"LV","pre",109
"LV","pre",223
"LV","pre",219
"LV","pre",143
"LV","pre",168
"LV","pre",141
"LV","pre",127
"LV","pre",142
"LV","pre",155
"LV","pre",127
"LV","pre",207
"LV","pre",149
"LV","pre",186
"LV","pre",245
"LV","pre",146
"LV","pre",205
"LV","pre",149
"LV","pre",144
"LV","pre",149
"LV","pre",196
"LV","pre",121
"LV","pre",177
"LV","pre",72
"LV","pre",211
"LV","pre",171
"LV","pre",86
"LV","pre",147
"LV","pre",134
"LV","pre",107
"LV","pre",82
"LV","pre",182
"LV","pre",134
"LV","pre",216
"LV","pre",129
"LV","pre",171
"LV","pre",137
"LV","pre",94
"LV","pre",143
"LV","pre",98
"LV","pre",91
"LV","pre",90
"LV","pre",86
"LV","pre",157
"LV","pre",251
"LV","pre",127
"LV","pre",310
"LV","pre",247
"LV","pre",125
"LV","pre",301
"LV","pre",123
"LV","pre",181
"LV","pre",144
"LV","pre",166
"LV","pre",188
"LV","pre",180
"LV","pre",134
"LV","pre",194
"LV","pre",171
"LV","pre",125
"LV","pre",167
"LV","pre",183
"LV","pre",140
"LV","pre",142
"LV","pre",213
"LV","pre",127
"LV","pre",263
"LV","pre",100
"LV","pre",250
"LV","pre",271
"LV","pre",151
"LV","pre",105
"LV","pre",102
"LV","pre",135
"LV","pre",155
"LV","pre",240
"SSBE","SSBE",177
"SSBE","SSBE",228
"SSBE","SSBE",193
"SSBE","SSBE",182
"SSBE","SSBE",246
"SSBE","SSBE",132
"SSBE","SSBE",154
"SSBE","SSBE",195
"SSBE","SSBE",165
"SSBE","SSBE",131
"SSBE","SSBE",137
"SSBE","SSBE",194
"SSBE","SSBE",144
"SSBE","SSBE",192
"SSBE","SSBE",178
"SSBE","SSBE",140
"SSBE","SSBE",189
"SSBE","SSBE",171
"SSBE","SSBE",193
"SSBE","SSBE",203
"SSBE","SSBE",254
"SSBE","SSBE",241
"SSBE","SSBE",259
"SSBE","SSBE",325
"SSBE","SSBE",358
"SSBE","SSBE",250
"SSBE","SSBE",276
"SSBE","SSBE",371
"SSBE","SSBE",250
"SSBE","SSBE",396
"SSBE","SSBE",277
"SSBE","SSBE",282
"SSBE","SSBE",317
"SSBE","SSBE",408
"SSBE","SSBE",291
"SSBE","SSBE",240
"SSBE","SSBE",243
"SSBE","SSBE",260
"SSBE","SSBE",368
"SSBE","SSBE",274
"SSBE","SSBE",232
"SSBE","SSBE",253
"SSBE","SSBE",329
"SSBE","SSBE",255
"SSBE","SSBE",132
"SSBE","SSBE",102
"SSBE","SSBE",143
"SSBE","SSBE",212
"SSBE","SSBE",213
"SSBE","SSBE",97
"SSBE","SSBE",133
"SSBE","SSBE",166
"SSBE","SSBE",176
"SSBE","SSBE",123
"SSBE","SSBE",134
"SSBE","SSBE",170
"SSBE","SSBE",188
"SSBE","SSBE",214
"SSBE","SSBE",153
"SSBE","SSBE",91
"SSBE","SSBE",111
"SSBE","SSBE",117
"SSBE","SSBE",144
"SSBE","SSBE",97
"SSBE","SSBE",228
"SSBE","SSBE",109
"SSBE","SSBE",273
"SSBE","SSBE",240
"SSBE","SSBE",255
"SSBE","SSBE",370
"SSBE","SSBE",220
"SSBE","SSBE",342
"SSBE","SSBE",361
"SSBE","SSBE",268
"SSBE","SSBE",232
"SSBE","SSBE",240
"SSBE","SSBE",359
"SSBE","SSBE",281
"SSBE","SSBE",275
"SSBE","SSBE",428
"SSBE","SSBE",248
"SSBE","SSBE",264
"SSBE","SSBE",338
"SSBE","SSBE",236
"SSBE","SSBE",354
"SSBE","SSBE",275
"SSBE","SSBE",434
"SSBE","SSBE",350
"SSBE","SSBE",232
"SSBE","SSBE",421
"SSBE","SSBE",249
"SSBE","SSBE",238
"SSBE","SSBE",239
"SSBE","SSBE",241
"SSBE","SSBE",274
"SSBE","SSBE",205
"SSBE","SSBE",342
"SSBE","SSBE",381
"SSBE","SSBE",227
"SSBE","SSBE",243
"SSBE","SSBE",352
"SSBE","SSBE",167
"SSBE","SSBE",345
"SSBE","SSBE",239
"SSBE","SSBE",366
"SSBE","SSBE",216
"SSBE","SSBE",260
"SSBE","SSBE",310
"SSBE","SSBE",348
"SSBE","SSBE",211
"SSBE","SSBE",228
"SSBE","SSBE",275
"SSBE","SSBE",413
"SSBE","SSBE",202
"SSBE","SSBE",305
"SSBE","SSBE",210
"SSBE","SSBE",242
"SSBE","SSBE",208
"SSBE","SSBE",234
"SSBE","SSBE",233
"SSBE","SSBE",235
"SSBE","SSBE",118
"SSBE","SSBE",122
"SSBE","SSBE",107
"SSBE","SSBE",185
"SSBE","SSBE",188
"SSBE","SSBE",105
"SSBE","SSBE",114
"SSBE","SSBE",126
"SSBE","SSBE",136
"SSBE","SSBE",137
"SSBE","SSBE",210
"SSBE","SSBE",177
"SSBE","SSBE",201
"SSBE","SSBE",115
"SSBE","SSBE",138
"SSBE","SSBE",121
"SSBE","SSBE",119
"SSBE","SSBE",187
"SSBE","SSBE",100
"SSBE","SSBE",189
"SSBE","SSBE",103
"SSBE","SSBE",154
"SSBE","SSBE",209
"SSBE","SSBE",234
"SSBE","SSBE",261
"SSBE","SSBE",232
"SSBE","SSBE",266
"SSBE","SSBE",367
"SSBE","SSBE",232
"SSBE","SSBE",248
"SSBE","SSBE",229
"SSBE","SSBE",247
"SSBE","SSBE",310
"SSBE","SSBE",364
"SSBE","SSBE",380
"SSBE","SSBE",353
"SSBE","SSBE",244
"SSBE","SSBE",262
"SSBE","SSBE",256
"SSBE","SSBE",366
"SSBE","SSBE",261
"SSBE","SSBE",245
"SSBE","SSBE",239
"SSBE","SSBE",135
"SSBE","SSBE",181
"SSBE","SSBE",124
"SSBE","SSBE",130
"SSBE","SSBE",120
"SSBE","SSBE",135
"SSBE","SSBE",120
"SSBE","SSBE",208
"SSBE","SSBE",179
"SSBE","SSBE",134
"SSBE","SSBE",136
"SSBE","SSBE",135
"SSBE","SSBE",152
"SSBE","SSBE",169
"SSBE","SSBE",135
"SSBE","SSBE",115
"SSBE","SSBE",92
"SSBE","SSBE",103
"SSBE","SSBE",223
"SSBE","SSBE",252
"SSBE","SSBE",120
"SSBE","SSBE",166
"SSBE","SSBE",156
"SSBE","SSBE",184
"SSBE","SSBE",137
"SSBE","SSBE",142
"SSBE","SSBE",109
"SSBE","SSBE",139
"SSBE","SSBE",173
"SSBE","SSBE",103
"SSBE","SSBE",106
"SSBE","SSBE",179
"SSBE","SSBE",116
"SSBE","SSBE",115
"SSBE","SSBE",117
"SSBE","SSBE",201
"SSBE","SSBE",105
"SSBE","SSBE",118
"SSBE","SSBE",131
"SSBE","SSBE",111
"SSBE","SSBE",105
"SSBE","SSBE",133
"SSBE","SSBE",120
"SSBE","SSBE",103
"SSBE","SSBE",96
"SSBE","SSBE",130
"SSBE","SSBE",115
"SSBE","SSBE",123
"SSBE","SSBE",136
"SSBE","SSBE",197
"SSBE","SSBE",347
"SSBE","SSBE",210
"SSBE","SSBE",128
"SSBE","SSBE",93
"SSBE","SSBE",193
"SSBE","SSBE",109
"SSBE","SSBE",103
"SSBE","SSBE",107
"SSBE","SSBE",111
"SSBE","SSBE",108
"SSBE","SSBE",117
"SSBE","SSBE",110
"SSBE","SSBE",103
"SSBE","SSBE",239
"SSBE","SSBE",125
"SSBE","SSBE",217
"SSBE","SSBE",109
"SSBE","SSBE",119
"SSBE","SSBE",93
"SSBE","SSBE",108
"SSBE","SSBE",153
"SSBE","SSBE",113
"SSBE","SSBE",231
"SSBE","SSBE",219
"SSBE","SSBE",269
"SSBE","SSBE",391
"SSBE","SSBE",225
"SSBE","SSBE",287
"SSBE","SSBE",243
"SSBE","SSBE",357
"SSBE","SSBE",250
"SSBE","SSBE",243
"SSBE","SSBE",259
"SSBE","SSBE",251
"SSBE","SSBE",429
"SSBE","SSBE",223
"SSBE","SSBE",183
"SSBE","SSBE",220
"SSBE","SSBE",244
"SSBE","SSBE",316
"SSBE","SSBE",249
"SSBE","SSBE",316
"SSBE","SSBE",201
"SSBE","SSBE",305
"SSBE","SSBE",271
"SSBE","SSBE",200
"SSBE","SSBE",225
"SSBE","SSBE",173
